DATE,GDP Growth QoQ,LagGDP,Building permits ,Total Industry capacity utilization,Unemployment rate,New Res Const,Industrial Production,Total Business inventories,New manufacturing orders,New residential sales,Advance Retail Sales,Real Personal Consumption Expenditures,Real Disposable Personal Income,Nonfarm Private Payroll Employment,Empire State Manufacturing Survey,Manufacturing Business Outlook Survey
2001-07-01,-1.3,2.1,-0.01810,-49.3,0.2,0.00550,-0.00787,-0.00463,-0.00505,-0.01408,-0.00101,0.00303,-0.00215,-0.00214,9.2857,13.4835
2001-10-01,1.1,-1.3,-0.00879,-45.7,0.7,-0.03520,-0.00562,-0.00559,0.00413,-0.00446,0.02220,0.00852,0.01157,-0.00326,15.9325,18.3342
2002-01-01,3.7,1.1,0.02662,-44.8,0.4,0.04242,0.00004,-0.01461,-0.02985,0.00446,-0.01606,-0.00115,-0.00405,-0.00284,-6.4306,-9.7692
2002-04-01,2.2,3.7,0.00104,-45.9,0.2,-0.02799,0.00456,-0.00421,0.01854,0.02679,0.00739,0.00364,0.01019,-0.00095,-14.4550,-9.9451
2002-07-01,2.0,2.2,0.01759,-47.5,-0.1,0.01685,0.00477,0.00182,0.01378,0.00918,0.00277,0.00299,0.00299,-0.00048,-2.7630,-1.9112
2002-10-01,0.3,2.0,0.01498,-47.5,-0.1,-0.00184,-0.00062,0.00629,-0.01482,0.02214,-0.00163,-0.00048,-0.00269,-0.00031,-0.0521,0.1737
2003-01-01,2.1,0.3,0.00217,-48.9,0.1,0.05092,0.00291,0.00397,0.00253,-0.00303,0.00882,0.00454,0.00256,-0.00078,-1.9981,-1.9981
2003-04-01,3.8,2.1,-0.00120,-47.9,0.2,-0.05224,-0.00275,0.00370,0.00506,0.00562,-0.00022,0.00181,0.00152,-0.00110,-0.4604,3.1283
2003-07-01,6.9,3.8,0.01932,-49.1,0.2,0.06243,0.00226,-0.00310,0.00732,0.06226,0.01056,0.00553,0.00726,-0.00031,-15.2957,-12.1521
2003-10-01,4.8,6.9,0.02832,-50.3,-0.2,0.01574,0.00268,-0.00173,0.02380,-0.00902,0.00238,0.00258,0.00182,0.00152,-32.0790,-24.4233
2004-01-01,2.3,4.8,-0.01315,-52.5,-0.3,-0.01254,0.00478,0.00382,-0.02324,0.00790,0.00669,0.00512,0.00611,0.00129,-31.4849,-29.1941
