DATE,GDP Growth QoQ,GDP Growth lag,Building permits ,Total Industry capacity utilization,Unemployment rate,New Res Const,Industrial Production,Total Business inventories,New manufacturing orders,New residential sales,Advance Retail Sales,Real Personal Consumption Expenditures,Real Disposable Personal Income,Nonfarm Private Payroll Employment,Empire State Manufacturing Survey,Manufacturing Business Outlook Survey
2001-07-01,-1.3,2.1,-0.0133,-49.3490,0.3333,0.0026,-0.0071,-0.0058,-0.0135,-0.0170,0.0015,0.0030,0.0064,-0.0023,9.8102,11.3559
2001-10-01,1.1,-1.3,-0.0051,-45.7273,0.6000,-0.0153,-0.0056,-0.0100,-0.0159,0.0033,0.0080,0.0039,0.0001,-0.0033,13.4183,15.3883
2002-01-01,3.7,1.1,0.0307,-44.5274,0.4333,0.0347,-0.0009,-0.0073,-0.0027,0.0253,-0.0022,0.0030,0.0068,-0.0029,-8.2970,-10.0038
2002-04-01,2.2,3.7,-0.0048,-46.0298,0.1000,-0.0083,0.0057,-0.0088,0.0093,0.0046,0.0024,0.0023,0.0048,-0.0009,-12.2229,-12.5065
2002-07-01,2.0,2.2,0.0097,-47.7894,-0.0333,0.0006,0.0050,0.0041,0.0043,0.0136,0.0063,0.0036,0.0004,-0.0004,-3.6995,-2.5486
2002-10-01,0.3,2.0,0.0150,-47.7894,0.0000,0.0170,-0.0001,0.0037,-0.0091,0.0213,-0.0006,0.0001,-0.0007,-0.0005,-0.7383,-1.9981
2003-01-01,2.1,0.3,0.0147,-48.6436,0.1333,0.0054,0.0012,0.0048,0.0007,-0.0131,0.0054,0.0037,0.0019,-0.0007,-3.1979,-0.1448
2003-04-01,3.8,2.1,-0.0129,-48.4877,0.1000,-0.0125,-0.0009,0.0095,0.0089,0.0152,0.0035,0.0024,0.0046,-0.0010,-7.6167,1.0424
2003-07-01,6.9,3.8,0.0259,-48.8781,0.2000,0.0387,0.0004,0.0027,0.0043,0.0625,0.0104,0.0064,0.0078,-0.0002,-16.2141,-14.2259
2003-10-01,4.8,6.9,0.0123,-50.7776,-0.2333,0.0294,0.0045,0.0012,0.0194,-0.0249,0.0041,0.0028,0.0010,0.0013,-29.4759,-24.1731
2004-01-01,2.3,4.8,0.0010,-52.5581,-0.3000,-0.0129,0.0039,0.0040,-0.0099,0.0108,0.0043,0.0037,0.0034,0.0014,-30.7856,-28.2271
2004-04-01,3.0,2.3,0.0272,-53.3805,0.0000,0.0124,0.0018,0.0067,0.0186,0.0304,0.0100,0.0036,0.0036,0.0024,-31.0576,-27.4264
2004-07-01,3.7,3.0,-0.0068,-53.9614,-0.1667,-0.0094,0.0012,0.0122,-0.0015,-0.0316,0.0009,0.0017,0.0031,0.0022,-23.3500,-23.4869
2004-10-01,3.5,3.7,0.0020,-56.1574,-0.0667,-0.0071,0.0046,0.0046,0.0083,0.0310,0.0118,0.0056,0.0019,0.0022,-18.0197,-21.1994
2005-01-01,4.3,3.5,0.0082,-59.5754,-0.0667,0.0454,0.0073,0.0104,0.0096,0.0077,0.0069,0.0041,0.0049,0.0021,-16.6762,-14.6128
2005-04-01,2.1,4.3,-0.0026,-60.4779,-0.2000,-0.0312,0.0023,0.0030,0.0089,0.0125,0.0047,0.0032,-0.0040,0.0023,-3.2152,-9.6226
2005-07-01,3.4,2.1,0.0204,-61.2082,-0.2000,0.0191,0.0025,-0.0098,0.0161,0.0049,0.0108,0.0049,0.0048,0.0021,-19.0375,-7.5175
2005-10-01,2.3,3.4,0.0033,-59.3962,0.0333,0.0101,-0.0022,0.0052,0.0177,-0.0140,0.0013,-0.0006,-0.0002,0.0020,-15.4600,-8.2766
2006-01-01,4.9,2.3,-0.0118,-62.5979,-0.2000,0.0016,0.0077,0.0081,-0.0004,-0.0383,0.0108,0.0049,0.0077,0.0021,-21.0796,-10.3267
2006-04-01,1.2,4.9,-0.0314,-62.5979,-0.1333,-0.0469,0.0017,0.0001,0.0102,-0.0190,0.0043,0.0032,0.0051,0.0021,-18.6764,-11.5032
2006-07-01,0.4,1.2,-0.0512,-63.3504,0.0000,-0.0432,0.0030,0.0121,-0.0051,-0.0341,0.0013,0.0021,0.0024,0.0015,-12.7727,-4.4046
2006-10-01,3.2,0.4,-0.0509,-61.7608,-0.2000,-0.0356,-0.0012,0.0060,0.0127,-0.0164,0.0007,0.0037,0.0047,0.0011,-18.0559,-1.6505
2007-01-01,0.2,3.2,0.0092,-62.0387,0.0333,-0.0227,0.0025,0.0013,-0.0132,-0.0372,0.0070,0.0047,0.0032,0.0017,-13.0687,-3.9983
2007-04-01,3.1,0.2,-0.0279,-62.0387,-0.0667,-0.0134,0.0020,0.0092,0.0117,-0.0255,0.0046,0.0020,0.0010,0.0015,-11.1175,-6.9345
2007-07-01,2.7,3.1,-0.0473,-61.9460,0.1667,-0.0273,0.0020,0.0061,0.0066,-0.0526,-0.0007,0.0013,0.0010,0.0006,-19.0010,-3.7372
2007-10-01,1.4,2.7,-0.0461,-61.4840,0.1000,-0.0546,0.0015,0.0037,-0.0129,-0.0434,0.0092,0.0020,0.0013,0.0000,-17.5699,-2.8674
